Country,CountryName,TotalCase,NewCase,TotalDeath,NewDeath,TotalRecoverd,Active,Serious,TotalTests,Population,Date
S,Saint Lucia,2860,240,28 ,3,2437,395,2,29111,184167,02/15/21
B,Barbados,2715,38,31 ,1,1914,770,0,120055,287602,02/15/21
E,Eritrea,2685,0,7 ,0,2050,628,0,23693,3577868,02/15/21
M,Mongolia,2586,35,2 ,0,1846,738,6,1583183,3312072,02/15/21
L,Liechtenstein,2545,2,54 ,0,2484,7,2,26526,38199,02/15/21
V,Vietnam,2368,6,35 ,0,1627,706,0,1529651,97901176,02/15/21
N,New Zealand,2350,2,26 ,0,2273,51,0,1651035,                               5002100 ,02/15/21
S,Seychelles,2328,23,10 ,0,1831,487,0,5200,98739,02/15/21
Y,Yemen,2157,0,618 ,0,1432,107,23,17404,30244887,02/15/21
S,Sint Maarten,2033,0,27 ,0,1955,51,2,16994,43188,02/15/21
T,Turks and Caicos,1998,14,14 ,1,1691,293,13,16358,39053,02/15/21
L,Liberia,1988,0,85 ,0,1856,47,2,70041,5133426,02/15/21
B,Burundi,1983,28,3 ,0,773,1207,0,90019,12115604,02/15/21
M,Monaco,1862,18,22 ,0,1644,196,11,51953,39421,02/15/21
S,Sao Tome and Principe,1578,0,21 ,1,1220,337,0,11592,221760,02/15/21
S,St. Vincent Grenadines,1498,4,6 ,0,768,724,2,33826,111167,02/15/21
S,Saint Martin,1497,0,12 ,0,1050,435,7,20290,39088,02/15/21
P,Papua New Guinea,1029,59,10 ,0,846,173,0,47490,9055299,02/15/21
T,Taiwan,942,1,9 ,0,893,40,0,171139,23844566,02/15/21
B,Bhutan,866,0,1 ,0,857,8,0,507386,777060,02/15/21
D,Diamond Princess,712,0,13 ,0,699,0,0,0,0,02/15/21
B,Bermuda,699,0,12 ,0,679,8,3,171397,62129,02/15/21
F,Faeroe Islands,658,0,1 ,0,655,2,0,229038,48983,02/15/21
M,Mauritius,603,0,10 ,0,556,37,0,289552,1273129,02/15/21
A,Antigua and Barbuda,598,50,11 ,1,217,370,40,12762,98450,02/15/21
C,Cambodia,516,32,0,0,470,46,0,445044,16867211,02/15/21
S,St. Barth,512,0,1 ,0,247,264,0,16891,9896,02/15/21
T,Tanzania,509,0,21 ,0,183,305,7,0,60815175,02/15/21
I,Isle of Man,450,1,25 ,0,409,16,0,30631,85323,02/15/21
C,Cayman Islands,428,0,2 ,0,394,32,0,71753,66217,02/15/21
C,Caribbean Netherlands,360,0,3 ,0,244,113,0,5145,26380,02/15/21
B,Brunei ,185,0,3 ,0,178,4,0,96665,440169,02/15/21
G,Grenada,148,0,1 ,0,146,1,0,20288,112859,02/15/21
D,Dominica,134,0,0,0,121,13,0,10917,72101,02/15/21
B,British Virgin Islands,114,0,1 ,0,95,18,0,13223,30360,02/15/21
T,Timor-Leste,103,0,0,0,82,21,0,20694,1334487,02/15/21
F,Fiji,56,0,2 ,0,54,0,0,27932,900622,02/15/21
N,New Caledonia,55,0,0,0,50,5,0,22075,287260,02/15/21
F,Falkland Islands,54,0,0,0,43,11,0,6977,3544,02/15/21
M,Macao,48,0,0,0,46,2,0,4369,655007,02/15/21
L,Laos,45,0,0,0,41,4,0,110103,7343177,02/15/21
S,Saint Kitts and Nevis,41,0,0,0,39,2,0,8533,53441,02/15/21
G,Greenland,30,0,0,0,30,0,0,17382,56833,02/15/21
V,Vatican City,27,0,0,0,15,12,0,0,802,02/15/21
S,Saint Pierre Miquelon,24,0,0,0,16,8,0,3729,5776,02/15/21
M,Montserrat,20,0,1 ,0,13,6,0,947,4994,02/15/21
A,Anguilla,18,0,0,0,18,0,0,8990,15089,02/15/21
S,Solomon Islands,18,0,0,0,14,4,0,4500,697611,02/15/21
W,Western Sahara,10,0,1 ,0,8,1,0,0,606691,02/15/21
M,MS Zaandam,9,0,2 ,0,7,0,0,0,0,02/15/21
W,Wallis and Futuna,9,0,0,0,5,4,0,1202,11111,02/15/21
M,Marshall Islands,4,0,0,0,4,0,0,0,59447,02/15/21
S,Samoa,3,0,0,0,2,1,0,0,199262,02/15/21
M,Micronesia,1,0,0,0,1,0,0,0,115797,02/15/21
V,Vanuatu,1,0,0,0,1,0,0,470,311719,02/15/21
U,USA,30138586,45045,548013 ,785,22286551,7304022,9286,0,332367957,03/15/21
B,Brazil,11525477,42107,279602 ,1275,10111954,1133921,8318,0,213621654,03/15/21
,India,11409595,24437,158892 ,130,11025631,225072,8944,0,1389530904,03/15/21
,Russia,4400045,9437,92494 ,404,4003576,303975,2300,0,145978580,03/15/21
,UK,4263527,5089,125580 ,64,3526715,611232,1110,0,68136918,03/15/21
,France,4078133,6471,90762 ,333,273771,3713600,4219,0,65375268,03/15/21
,Italy,3238394,15267,102499 ,354,2605538,530357,3157,0,60399096,03/15/21
,Spain,3195062,4484,72424 ,56,2857714,264924,2112,0,46767546,03/15/21
,Turkey,2894893,15503,29552 ,63,2716969,148372,1425,0,84976014,03/15/21
,Germany,2585385,6550,74115 ,156,2365100,146170,2848,0,83972604,03/15/21
,Colombia,2305884,2740,61243 ,100,2206210,38431,1982,0,51263550,03/15/21
,Argentina,2201886,6164,53836 ,166,1993215,154835,3469,0,45487062,03/15/21
,Mexico,2166290,2415,194710 ,220,1705743,265837,4798,0,129883602,03/15/21
,Poland,1917525,10894,47206 ,28,1574455,295864,2084,0,37817368,03/15/21
,Iran,1754933,7980,61330 ,100,1499301,194302,3839,0,84746758,03/15/21
,South Africa,1530033,613,51421 ,95,1455325,23287,546,0,59833051,03/15/21
,Ukraine,1467548,6792,28433 ,130,1226007,213108,177,0,43548043,03/15/21
,Indonesia,1425044,5589,38573 ,147,1249947,136524,0,0,275553769,03/15/21
,Peru,1418974,6568,49177 ,174,1329788,40009,2245,0,33293729,03/15/21
,Czechia,1402451,3318,23529 ,192,1214171,164751,1935,0,10722980,03/15/21
,Netherlands,1162661,5469,16087 ,18,0,0,564,0,17161582,03/15/21
,Canada,913047,3890,22495 ,32,858922,31630,553,0,37974620,03/15/21
,Chile,896231,5121,21772 ,98,840668,33791,2053,0,19231484,03/15/21
,Romania,862681,2972,21565 ,82,787392,53724,1225,0,19146957,03/15/21
,Israel,820913,2365,6030 ,22,788112,26771,602,0,2807805 ,03/15/21
,Portugal,814513,256,16694 ,10,761788,36031,231,0,10175719,03/15/21
,Belgium,808283,2962,22441 ,20,54577,731265,474,0,11625125,03/15/21
,Iraq,763085,4901,13788 ,37,690620,58677,458,0,40852352,03/15/21
,Sweden,725289,2699,13137 ,0,0,0,250,0,10143554,03/15/21
,Philippines,626883,5394,12837 ,8,560570,53476,785,0,110603486,03/15/21
,Pakistan,607453,2253,13537 ,29,571878,22038,1823,0,223890015,03/15/21
,Switzerland,573815,3170,10118 ,6,530686,33011,164,0,8699113,03/15/21
,Bangladesh,559168,1773,8571 ,26,513127,37470,0,0,165841372,03/15/21
,Hungary,524196,7706,17083 ,131,354817,152296,1008,0,9643036,03/15/21
,Serbia,520911,4634,4747 ,28,445182,70982,219,0,8712513,03/15/21
,Austria,495464,1896,8892 ,19,459288,27284,364,0,9042548,03/15/21
,Morocco,489096,159,8733 ,10,476126,4237,262,0,37217457,03/15/21
,Jordan,486470,9417,5428 ,82,401319,79723,638,0,10274252,03/15/21
,Japan,447906,1033,8590 ,30,426686,12630,327,0,126203100,03/15/21
,UAE,428295,1898,1402 ,7,408085,18808,0,0,9974219,03/15/21
,Lebanon,419953,1505,5422 ,42,331506,83025,958,0,6803853,03/15/21
,Saudi Arabia,382752,345,6573 ,6,372926,3253,567,0,35193520,03/15/21
,Panama,348155,236,6005 ,11,336277,5873,111,0,4362324,03/15/21
,Slovakia,337960,457,8605 ,77,255300,74055,668,0,5461506,03/15/21
,Malaysia,324971,1208,1213 ,3,308247,15511,155,0,32656763,03/15/21
,Belarus,303270,947,2103 ,8,294143,7024,0,0,9447131,03/15/21
,Ecuador,302498,277,16240 ,4,263164,23094,513,0,17830687,03/15/21
,Bulgaria,283194,4637,11472 ,187,227059,44663,577,0,6911451,03/15/21
,Nepal,275310,79,3014 ,0,271401,895,0,0,29503331,03/15/21
,Georgia,275148,159,3650 ,2,268565,2933,0,0,3983763,03/15/21
,Bolivia,259389,385,11958 ,14,204813,42618,71,0,11784623,03/15/21
,Croatia,251174,129,5685 ,8,241147,4342,72,0,4087371,03/15/21
,Dominican Republic,246299,254,3226 ,4,202547,40526,166,0,10924285,03/15/21
,Tunisia,242124,290,8404 ,15,209166,24554,270,0,11905426,03/15/21
,Azerbaijan,240671,376,3286 ,4,231061,6324,0,0,10203370,03/15/21
,Ireland,227316,575,4534 ,0,23364,199418,85,0,4976490,03/15/21
,Kazakhstan,224731,1011,2856 ,5,206832,15043,221,0,18934250,03/15/21
,Greece,222281,1134,7137 ,46,190188,24956,564,0,10387083,03/15/21
,Denmark,221071,612,2393 ,2,210114,8564,40,0,5806564,03/15/21
,Palestine,211602,2298,2293 ,25,187634,21675,181,0,5184135,03/15/21
,Kuwait,210855,1332,1179 ,7,195507,14169,219,0,4314813,03/15/21
,Costa Rica,209093,0,2862 ,0,188967,17264,127,0,5126791,03/15/21
,Lithuania,205662,267,3411 ,13,191324,10927,124,0,2695360,03/15/21
,Moldova,205324,861,4369 ,39,179474,21481,330,0,4027346,03/15/21
,Slovenia,200579,205,3938 ,4,186386,10255,87,0,2079139,03/15/21
,Egypt,191555,631,11340 ,40,147767,32448,90,0,103683741,03/15/21
,Guatemala,183014,133,6578 ,10,168627,7809,5,0,18147294,03/15/21
,Paraguay,181414,1400,3517 ,41,150870,27027,353,0,7193985,03/15/21
,Armenia,178702,317,3265 ,10,166410,9027,0,0,2967146,03/15/21
,Honduras,178277,445,4334 ,3,68678,105265,451,0,10014896,03/15/21
,Ethiopia,176618,1151,2555 ,5,143828,30235,531,0,116948417,03/15/21
,Qatar,170733,481,267 ,1,158508,11958,118,0,2807805 ,03/15/21
,Nigeria,160895,238,2016 ,3,145752,13127,10,0,209700684,03/15/21
,Oman,147423,556,1609 ,1,136770,9044,86,0,5197118,03/15/21
,Venezuela,146488,535,1444 ,7,137948,7096,139,0,28379060,03/15/21
,Libya,146080,1087,2402 ,16,132697,10981,0,0,6936782,03/15/21
,Bosnia and Herzegovina,144831,582,5584 ,63,121441,17806,0,0,3266393,03/15/21
,Myanmar,142147,0,3202 ,0,131739,7206,0,0,54666275,03/15/21
,Bahrain,131683,682,485 ,1,124823,6375,61,0,1742586,03/15/21
,Albania,118017,543,2060 ,15,81061,34896,46,0,2875580,03/15/21
,Algeria,115410,145,3040 ,4,79994,32376,14,0,44404834,03/15/21
,Kenya,113967,731,1918 ,5,88596,23453,109,0,54598005,03/15/21
,North Macedonia,112930,284,3340 ,21,98133,11457,124,0,2083314,03/15/21
,S. Korea,96017,382,1675 ,6,87754,6588,99,0,51300288,03/15/21
,Latvia,93959,178,1769 ,2,84837,7353,77,0,1871429,03/15/21
,China,90049,5,4636 ,0,85238,175,0,0,1439323776 ,03/15/21
,Sri Lanka,88238,331,532 ,5,84969,2737,0,0,21476449,03/15/21
,Ghana,87985,223,691 ,6,83621,3673,67,0,31525924,03/15/21
,Kyrgyzstan,86917,67,1483 ,2,83875,1559,16,0,6599533,03/15/21
,Estonia,86085,1280,728 ,9,60007,25350,69,0,1327164,03/15/21
,Zambia,84950,153,1164 ,6,82375,1411,149,0,18742215,03/15/21
,Montenegro,84163,470,1136 ,7,74290,8737,69,0,628122,03/15/21
,Norway,81305,865,640 ,1,70224,10441,27,0,5451033,03/15/21
,Uzbekistan,80678,111,622 ,0,79331,725,23,0,33809036,03/15/21
,Uruguay,72862,1171,717 ,5,61609,10536,131,0,3482207,03/15/21
,Finland,67334,465,800 ,14,46000,20534,50,0,5546786,03/15/21
,Mozambique,64516,0,725 ,0,50380,13411,0,0,31864760,03/15/21
,El Salvador,62377,148,1954 ,4,59339,1084,42,0,6509234,03/15/21
,Cuba,62206,734,373 ,3,57550,4283,87,0,11321740,03/15/21
,Singapore,60117,12,30 ,0,59974,113,0,0,5882677,03/15/21
,Luxembourg,57926,49,693 ,4,54481,2752,25,0,633107,03/15/21
,Afghanistan,55995,23,2460 ,1,49481,4054,1095,0,39540117,03/15/21
,Namibia,41424,224,465 ,7,38514,2445,25,0,2573086,03/15/21
,Cameroon,40622,0,601 ,0,35261,4760,53,0,27006405,03/15/21
,Uganda,40591,10,334 ,0,15099,25158,0,0,46744315,03/15/21
,Cyprus,39869,218,240 ,0,2057,37572,40,0,1213537,03/15/21
,Ivory Coast,37908,255,213 ,2,34616,3079,0,0,26833559,03/15/21
,Senegal,36996,104,978 ,15,32769,3249,44,0,17051222,03/15/21
,Zimbabwe,36504,20,1504 ,1,34051,949,22,0,15014503,03/15/21
,Botswana,34999,901,447 ,23,29916,4636,1,0,2384799,03/15/21
,Malawi,32864,33,1084 ,1,26607,5173,60,0,19474308,03/15/21
,Jamaica,31305,806,492 ,7,15253,15560,35,0,2970264,03/15/21
,Sudan,29135,151,1959 ,19,23583,3593,0,0,44563377,03/15/21
,Australia,29130,13,909 ,0,26230,1991,0,0,25707455,03/15/21
,DRC,27077,63,717 ,0,23002,3358,0,0,91453715,03/15/21
,Thailand,27005,78,87 ,1,26234,684,1,0,69923356,03/15/21
,Malta,26748,213,354 ,3,23376,3018,0,0,442371,03/15/21
,Maldives,21666,94,64 ,0,19245,2357,179,0,547204,03/15/21
,Madagascar,21587,105,334 ,5,20494,759,23,0,28186960,03/15/21
,Angola,21407,27,521 ,0,19948,938,14,0,33576529,03/15/21
,Rwanda,20302,116,282 ,2,18635,1385,13,0,13176002,03/15/21
,Mayotte,18845,203,137 ,6,2964,15744,23,0,277404,03/15/21
,French Polynesia,18546,19,141 ,0,4842,13563,3,0,282050,03/15/21
,Guinea,17972,131,104 ,1,15719,2149,24,0,13380782,03/15/21
,Mauritania,17457,19,444 ,0,16789,224,14,0,4734777,03/15/21
,Eswatini,17239,2,663 ,2,15791,785,36,0,1168596,03/15/21
,Gabon,16945,285,101 ,5,14780,2064,27,0,2262361,03/15/21
,French Guiana,16764,0,87 ,0,9995,6682,6,0,304075,03/15/21
,Syria,16556,78,1104 ,5,11058,4394,0,0,17797049,03/15/21
,Cabo Verde,16120,19,156 ,0,15511,453,23,0,560225,03/15/21
,Réunion,13801,0,71 ,0,12389,1341,58,0,899804,03/15/21
,Tajikistan,13308,0,90 ,0,13218,0,0,0,9687135,03/15/21
,Haiti,12664,0,250 ,0,10177,2237,0,0,11500021,03/15/21
,Belize,12383,13,316 ,0,12004,63,0,0,402676,03/15/21
,Burkina Faso,12378,6,144 ,0,11974,260,0,0,21302241,03/15/21
,Hong Kong,11312,30,203 ,0,10769,340,13,0,7539721,03/15/21
,Andorra,11289,23,113 ,0,10795,381,12,0,77352,03/15/21
,Guadeloupe,10614,0,162 ,0,2242,8210,8,0,400172,03/15/21
,Lesotho,10530,0,309 ,0,3922,6299,0,0,2154183,03/15/21
,South Sudan,9554,64,106 ,2,7906,1542,3,0,11285791,03/15/21
,Congo,9329,0,131 ,0,7514,1684,0,0,5612763,03/15/21
,Somalia,9328,138,379 ,12,4259,4690,0,0,16201781,03/15/21
,Guyana,9187,27,207 ,0,8311,669,8,0,789223,03/15/21
,Suriname,9028,4,176 ,0,8519,333,4,0,590324,03/15/21
,Mali,8933,20,363 ,3,6511,2059,0,0,20656539,03/15/21
,Bahamas,8765,107,186 ,1,7645,934,2,0,395883,03/15/21
,Aruba,8421,26,79 ,0,8074,268,8,0,107085,03/15/21
,Togo,8222,152,96 ,1,6813,1313,0,0,8414056,03/15/21
,Trinidad and Tobago,7788,5,140 ,0,7542,106,2,0,1402679,03/15/21
,Martinique,6928,0,47 ,0,98,6783,3,0,375060,03/15/21
,Equatorial Guinea,6562,0,98 ,0,5938,526,24,0,1434978,03/15/21
,Nicaragua,6537,0,175 ,0,4225,2137,0,0,6679841,03/15/21
,Benin,6501,0,81 ,0,5552,868,35,0,12344364,03/15/21
,Djibouti,6294,26,63 ,0,5987,244,0,0,998066,03/15/21
,Iceland,6083,11,29 ,0,6027,27,1,0,342800,03/15/21
,Curaçao,5138,28,22 ,0,4719,397,8,0,164565,03/15/21
,CAR,5023,0,63 ,0,4920,40,2,0,4888515,03/15/21
,Gambia,5019,34,153 ,0,4525,341,3,0,2463909,03/15/21
,Niger,4865,5,182 ,0,4507,176,1,0,24813762,03/15/21
,Chad,4328,19,155 ,1,3803,370,0,0,16753724,03/15/21
,Gibraltar,4263,0,94 ,0,4143,26,0,0,33684,03/15/21
,San Marino,4154,4,77 ,0,3627,450,9,0,33981,03/15/21
,Mongolia,4083,122,4 ,0,3031,1048,7,0,3315248,03/15/21
,Saint Lucia,4053,22,55 ,4,3790,208,3,0,184218,03/15/21
,Channel Islands,4044,1,86 ,0,3965,-7,1,0,174989,03/15/21
,Sierra Leone,3938,1,79 ,0,2780,1079,0,0,8090305,03/15/21
,Comoros,3646,11,146 ,0,3448,52,0,0,882535,03/15/21
,Guinea-Bissau,3447,0,52 ,0,2755,640,14,0,2000440,03/15/21
,Barbados,3442,21,38 ,1,3215,189,0,0,287623,03/15/21
,Seychelles,3342,27,16 ,0,2903,423,0,0,98775,03/15/21
,Eritrea,3055,17,7 ,0,2701,347,0,0,3580820,03/15/21
,Yemen,2908,72,698 ,9,1500,710,23,0,30284463,03/15/21
,Liechtenstein,2612,0,55 ,0,2521,36,2,0,38205,03/15/21
,Vietnam,2557,3,35 ,0,2115,407,0,0,97953767,03/15/21
,Burundi,2461,0,3 ,0,773,1685,0,0,12136984,03/15/21
,New Zealand,2430,7,26 ,0,2311,93,0,0,5002100 ,03/15/21
,Papua New Guinea,2269,187,26 ,5,846,1397,0,0,9065502,03/15/21
,Turks and Caicos,2233,0,15 ,0,2098,120,7,0,39084,03/15/21
,Monaco,2120,13,27 ,0,1922,171,6,0,39438,03/15/21
,Sint Maarten,2085,3,27 ,0,2048,10,1,0,43218,03/15/21
,Sao Tome and Principe,2084,6,32 ,0,1854,198,0,0,222005,03/15/21
,Liberia,2030,0,85 ,0,1899,46,2,0,5140590,03/15/21
,St. Vincent Grenadines,1680,0,9 ,0,1129,542,2,0,111188,03/15/21
,Saint Martin,1602,0,12 ,0,1399,191,7,0,39127,03/15/21
,Cambodia,1325,20,1 ,0,730,594,0,0,16881123,03/15/21
,Isle of Man,1307,29,26 ,0,430,851,12,0,85350,03/15/21
,Taiwan,990,5,10 ,0,951,29,0,0,23847150,03/15/21
,Antigua and Barbuda,963,0,27 ,0,598,338,45,0,98499,03/15/21
,Bhutan,868,0,1 ,0,866,1,0,0,777570,03/15/21
,Caribbean Netherlands,804,41,6 ,0,545,253,0,0,26394,03/15/21
,Mauritius,747,5,10 ,0,592,145,0,0,1273255,03/15/21
,Bermuda,740,5,12 ,0,699,29,0,0,62116,03/15/21
,Diamond Princess,712,0,13 ,0,699,0,0,0,0,03/15/21
,St. Barth,712,0,1 ,0,462,249,0,0,9898,03/15/21
,Faeroe Islands,661,0,1 ,0,657,3,0,0,48994,03/15/21
,Tanzania,509,0,21 ,0,183,305,7,0,60917855,03/15/21
,Cayman Islands,474,6,2 ,0,437,35,0,0,66263,03/15/21
,Timor-Leste,203,7,0,0,104,99,0,0,1335999,03/15/21
,Brunei ,199,0,3 ,0,185,11,0,0,440421,03/15/21
,Wallis and Futuna,186,8,0,0,7,179,1,0,11099,03/15/21
,Dominica,156,0,0,0,141,15,0,0,72112,03/15/21
,Grenada,154,6,1 ,0,151,2,0,0,112890,03/15/21
,British Virgin Islands,153,0,1 ,0,131,21,0,0,30372,03/15/21
,New Caledonia,93,0,0,0,58,35,0,0,287425,03/15/21
,Fiji,66,0,2 ,0,60,4,0,0,901011,03/15/21
,Falkland Islands,54,0,0,0,54,0,0,0,3550,03/15/21
,Macao,48,0,0,0,47,1,0,0,655539,03/15/21
,Laos,48,0,0,0,42,6,0,0,7349525,03/15/21
,Saint Kitts and Nevis,43,0,0,0,41,2,0,0,53464,03/15/21
,Greenland,31,0,0,0,31,0,0,0,56839,03/15/21
,Vatican City,27,0,0,0,15,12,0,0,802,03/15/21
,Saint Pierre Miquelon,24,0,0,0,24,0,0,0,5774,03/15/21
,Anguilla,21,0,0,0,18,3,0,0,15097,03/15/21
,Montserrat,20,0,1 ,0,18,1,0,0,4994,03/15/21
,Solomon Islands,18,0,0,0,16,2,0,0,698626,03/15/21
,Western Sahara,10,0,1 ,0,8,1,0,0,607576,03/15/21
,MS Zaandam,9,0,2 ,0,7,0,0,0,0,03/15/21
,Marshall Islands,4,0,0,0,4,0,0,0,59471,03/15/21
,Samoa,3,0,0,0,2,1,0,0,199341,03/15/21
,Vanuatu,3,0,0,0,1,2,0,0,312151,03/15/21
,Micronesia,1,0,0,0,1,0,0,0,115869,03/15/21
