Country,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,vaccinated,fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index,A_Date,continent,iso_code
M,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,75,0.17,0.066,10,0.023,0,0,tests performed,0,0,0,0,0,0,0,0,0,11.11,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,82.53,0.895,2020-02-25,Europe,MLT
M,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,9941,0.077,0.002,169,0.001,0.04,25,people tested,0,0,0,0,0,0,0,0,0,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,75.05,0.779,2020-02-25,North America,MEX
M,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,1,0,0,0,people tested,0,0,0,0,0,0,0,0,0,0,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,76.68,0.686,2020-02-25,Africa,MAR
N,Nepal,1,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,221,0.008,0,27,0.001,0,0,tests performed,0,0,0,0,0,0,0,0,0,16.67,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,70.78,0.602,2020-02-25,Asia,NPL
O,Oman,2,0,0,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.44,5106622,14.98,30.7,2.355,1.53,37960.709,0,266.342,12.61,0.5,15.6,77.86,0.813,2020-02-25,Asia,OMN
P,Pakistan,2,2,0,0,0,0,0.009,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.44,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,67.27,0.557,2020-02-25,Asia,PAK
P,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,0.002,0,1,0,0.062,16.1,tests performed,0,0,0,0,0,0,0,0,0,0,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,0,76.74,0.777,2020-02-25,South America,PER
P,Philippines,3,0,0,1,0,0,0.027,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,109581085,351.873,25.2,4.803,2.661,7599.188,0,370.437,7.07,7.8,40.8,71.23,0.718,2020-02-25,Asia,PHL
R,Russia,2,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,72.58,0.824,2020-02-25,Europe,RUS
S,Singapore,91,2,1.429,0,0,0,15.555,0.342,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,0,92.243,10.99,5.2,28.3,83.62,0.938,2020-02-25,Asia,SGP
S,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,59,0.028,0.01,6,0.003,0,0,tests performed,0,0,0,0,0,0,0,0,0,0,2078932,102.619,44.5,19.062,12.93,31400.84,0,153.493,7.25,20.1,25,81.32,0.917,2020-02-25,Europe,SVN
S,Spain,6,4,0.571,0,0,0,0.128,0.086,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,83.56,0.904,2020-02-25,Europe,ESP
S,Sri Lanka,1,0,0,0,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tests performed,0,0,0,0,0,0,0,0,0,11.11,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,76.98,0.782,2020-02-25,Asia,LKA
S,Sweden,1,0,0,0,0,0,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,82.8,0.945,2020-02-25,Europe,SWE
S,Switzerland,1,1,0,0,0,0,0.116,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8654618,214.243,43.1,18.436,12.644,57410.166,0,99.739,5.59,22.6,28.9,83.78,0.955,2020-02-25,Europe,CHE
