Country,location,Avg_TotalCase,total_cases,Avg_Ncase,new_cases,Avg_Tdeath,total_deaths,Avg_Ndeath,new_deaths,Avg_Ttest,total_tests,Avg_Tvaccine,total_vaccination,Avg_Hvaccin,vaccinated,Avg_Fvaccin,fully_vaccinated,Avg_Pop,population,Date,A_Date
F,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896444,896444,2/25/20,2020-02
F,Finland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5540718,5540718,2/5/20,2020-02
F,Finland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5540718,5540718,2/10/20,2020-02
F,Finland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5540718,5540718,2/15/20,2020-02
F,Finland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5540718,5540718,2/20/20,2020-02
F,Finland,2,1,0.4,0,0,0,0,0,151.6,0,0,0,0,0,0,0,5540718,5540718,2/25/20,2020-02
F,France,8.5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67564251,67564251,2/5/20,2020-02
F,France,11.16666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67564251,67564251,2/10/20,2020-02
F,France,12,12,0.2,1,1,1,0.2,1,0,0,0,0,0,0,0,0,67564251,67564251,2/15/20,2020-02
F,France,12.33333333,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,67564251,67564251,2/20/20,2020-02
F,France,45.4,14,17.6,2,1.666666667,1,0.2,0,0,0,0,0,0,0,0,0,67564251,67564251,2/25/20,2020-02
G,Germany,13,12,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,83783945,83783945,2/5/20,2020-02
G,Germany,15.66666667,14,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,83783945,83783945,2/10/20,2020-02
G,Germany,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83783945,83783945,2/15/20,2020-02
G,Germany,16.16666667,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83783945,83783945,2/20/20,2020-02
G,Germany,43.4,17,12.6,1,0,0,0,0,0,0,0,0,0,0,0,0,83783945,83783945,2/25/20,2020-02
G,Greece,2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,10423056,10423056,2/15/20,2020-02
G,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17915567,17915567,2/20/20,2020-02
G,Guatemala,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,17915567,17915567,2/25/20,2020-02
H,Hong Kong,27.16666667,21,2.4,4,1,1,0,0,0,0,0,0,0,0,0,0,7496988,7496988,2/5/20,2020-02
H,Hong Kong,50.33333333,38,5.4,9,1,1,0,0,0,0,0,0,0,0,0,0,7496988,7496988,2/10/20,2020-02
H,Hong Kong,61,56,1.4,0,1,1,0.2,0,0,0,0,0,0,0,0,0,7496988,7496988,2/15/20,2020-02
H,Hong Kong,73.66666667,68,3.2,5,2,2,0,0,0,0,0,0,0,0,0,0,7496988,7496988,2/20/20,2020-02
H,Hong Kong,91.2,84,3.2,5,2,2,0,0,6118.6,0,0,0,0,0,0,0,7496988,7496988,2/25/20,2020-02
I,India,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,1380004385,2/5/20,2020-02
I,India,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,1380004385,2/10/20,2020-02
I,India,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,1380004385,2/15/20,2020-02
I,India,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,1380004385,2/20/20,2020-02
I,India,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,1380004385,2/25/20,2020-02
I,Iran,41.66666667,5,11.8,3,3.666666667,2,2,0,0,0,0,0,0,0,0,0,83992953,83992953,2/20/20,2020-02
I,Iran,292,95,106.4,34,20.33333333,16,6.2,4,0,0,0,0,0,0,0,0,83992953,83992953,2/25/20,2020-02
I,Iraq,6.6,1,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,40222503,40222503,2/25/20,2020-02
I,Israel,0.833333333,0,0.2,0,0,0,0,0,96.6,29,0,0,0,0,0,0,8655541,8655541,2/20/20,2020-02
I,Israel,3.6,1,1,0,0,0,0,0,576.8,309,0,0,0,0,0,0,8655541,8655541,2/25/20,2020-02
I,Italy,2.666666667,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,60461828,60461828,2/5/20,2020-02
I,Italy,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60461828,60461828,2/10/20,2020-02
I,Italy,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60461828,60461828,2/15/20,2020-02
I,Italy,131.8333333,3,45.2,0,1,0,1.4,0,864.8,0,0,0,0,0,0,0,60461828,60461828,2/20/20,2020-02
I,Italy,689.2,322,179.8,93,13,10,4.4,3,12916,8623,0,0,0,0,0,0,60461828,60461828,2/25/20,2020-02
J,Japan,23.83333333,23,0.4,1,0,0,0,0,28.2,4,0,0,0,0,0,0,126476458,126476458,2/5/20,2020-02
J,Japan,35.16666667,26,3.8,2,0,0,0.2,0,82.2,58,0,0,0,0,0,0,126476458,126476458,2/10/20,2020-02
